Não-Terminal,&&,(,),*,+,,,-,.,/,:,:=,;,<,<=,<>,=,>,>=,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,^,begin,bool,deref,do,else,end,enum,false,fi,float,id,if,in,int,new,not,null,od,procedure,program,ref,return,string,struct,then,true,var,while,||,}
TYPE,,,,,,,,,,,,,,,,,,,,,,,,bool,,,,,,,,float,id,,,int,,,,,,,ref ( TYPE ),,string,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return ( EXP ),,,,,,,,
PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,program id begin PROGRAM_DECL end,,,,,,,,,,
PROC_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procedure id ( PROC_PARAMFIELD_DECL ) PROC_TYPE_DECL begin PROC_DECL_DECL STMT_LIST end,,,,,,,,,,,
PROGRAM_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,DECL PROGRAM_DECL',,,,,,ε,,,,,,DECL PROGRAM_DECL',,,,,DECL PROGRAM_DECL',,,DECL PROGRAM_DECL',,,
PARAMFIELD_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,id : TYPE,,,,,,,,,,,,,,,,,,,
EXP5,,FACT5 EXP3,,,,,,,,,,,,,,,,,FACT5 EXP3,FACT5 EXP3,FACT5 EXP3,,,,,,,,,FACT5 EXP3,,,,,,,FACT5 EXP3,not NOT_OP4,FACT5 EXP3,,,,FACT5 EXP3,,,,,FACT5 EXP3,,,,
PROC_PARAMFIELD_DECL',,,ε,,,, PARAMFIELD_DECL PROC_PARAMFIELD_DECL',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROC_TYPE_DECL,,,,,,,,,,: TYPE,,,,,,,,,,,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POW4,,FACT4 POW4',,,,,,,,,,,,,,,,,FACT4 POW4',FACT4 POW4',FACT4 POW4',,,,FACT4 POW4',,,,,FACT4 POW4',,,FACT4 POW4',,,,FACT4 POW4',,FACT4 POW4',,,,FACT4 POW4',,,,,FACT4 POW4',,,,
FACT2,,( EXP ),,,,,,,,,,,,,,,,,LITERAL,LITERAL,LITERAL,,,,DEREF_VAR,,,,,LITERAL,,,,,,,new id,,LITERAL,,,,REF_VAR,,,,,LITERAL,,,,
POW',ε,,ε,ε,ε,ε,ε,,ε,,,ε,ε,ε,ε,ε,ε,ε,,,,^ POW,,,,ε,ε,ε,,,ε,,,,ε,,,,,ε,,,,,,,ε,,,,ε,
AND_OP,,NOT_OP AND_OP',,,,,,,,,,,,,,,,,NOT_OP AND_OP',NOT_OP AND_OP',NOT_OP AND_OP',,,,NOT_OP AND_OP',,,,,NOT_OP AND_OP',,,NOT_OP AND_OP',,,,NOT_OP AND_OP',NOT_OP AND_OP',NOT_OP AND_OP',,,,NOT_OP AND_OP',,,,,NOT_OP AND_OP',,,,
PROC_PARAMFIELD_DECL,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMFIELD_DECL PROC_PARAMFIELD_DECL',,,,,,,,,,,,,,,,,,,
STMT_LIST',,,,,,,,,,,,; STMT STMT_LIST',,,,,,,,,,,,,,,ε,ε,,,ε,,,,,,,,,ε,,,,,,,,,,,,
PROC_DECL_DECL,,ε,,,,,,,,,,,,,,,,,ε,ε,ε,,,,ε,,,ε,PROGRAM_DECL in,ε,,,ε,ε,PROGRAM_DECL in,,ε,ε,ε,,PROGRAM_DECL in,,ε,ε,,PROGRAM_DECL in,,ε,PROGRAM_DECL in,ε,,
NOT_OP',,ε,,,,,,,,,,,,,,,,,ε,ε,ε,,,,ε,,,,,ε,,,ε,,,,ε,not NOT_OP',ε,,,,ε,,,,,ε,,,,
EXP,,AND_OP OR_OP',,,,,,,,,,,,,,,,,AND_OP OR_OP',AND_OP OR_OP',AND_OP OR_OP',,,,AND_OP OR_OP',,,,,AND_OP OR_OP',,,AND_OP OR_OP',,,,AND_OP OR_OP',AND_OP OR_OP',AND_OP OR_OP',,,,AND_OP OR_OP',,,,,AND_OP OR_OP',,,,
FACT5,,( EXP ),,,,,,,,,,,,,,,,,LITERAL,LITERAL,LITERAL,,,,,,,,,LITERAL,,,,,,,new id,,LITERAL,,,,REF_VAR,,,,,LITERAL,,,,
TERM',ε,,ε,* POW TERM',ε,ε,ε,,/ POW TERM',,,ε,ε,ε,ε,ε,ε,ε,,,,,,,,ε,ε,ε,,,ε,,,,ε,,,,,ε,,,,,,,ε,,,,ε,
ENUM_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enum id = { id ENUM_DECL' } of TYPE,,,,,,,,,,,,,,,,,,,,,,,
REC_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,struct id { REC_PARAMFIELD_DECL },,,,,,
VAR,,FACT VAR',,,,,,,,,,,,,,,,,FACT VAR',FACT VAR',FACT VAR',,,,FACT VAR',,,,,FACT VAR',,,FACT VAR',,,,FACT VAR',,FACT VAR',,,,FACT VAR',,,,,FACT VAR',,,,
OR_OP3,AND_OP3,,,AND_OP3,AND_OP3,,AND_OP3,,AND_OP3,,,,AND_OP3,AND_OP3,AND_OP3,AND_OP3,AND_OP3,AND_OP3,,,,AND_OP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|| AND_OP4 OR_OP4',
POW3,,,,,,,,,,,,,,,,,,,,,,^ FACT3 POW4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
